date,종가,시가,고가,저가,거래량,변동 %,MA125,Momentum,z_score,z_score_grade
2008-07-01,1666.46,1675.7,1681.45,1652.03,278.02M,-0.51%,,,0.0,6.25
2008-07-02,1623.6,1665.52,1667.97,1607.88,335.99M,-2.57%,,,,0.0
2008-07-03,1606.54,1591.21,1616.65,1580.83,352.00M,-1.05%,,,,0.0
2008-07-04,1577.94,1604.47,1610.65,1574.6,246.97M,-1.78%,,,,0.0
2008-07-07,1579.72,1568.25,1583.49,1560.0,250.03M,0.11%,,,,0.0
2008-07-08,1533.47,1577.04,1577.04,1509.2,332.01M,-2.93%,,,,0.0
2008-07-09,1519.38,1557.07,1563.07,1519.05,328.76M,-0.92%,,,,0.0
2008-07-10,1537.43,1498.78,1542.34,1495.44,354.19M,1.19%,,,,0.0
2008-07-11,1567.51,1543.01,1573.06,1526.67,326.55M,1.96%,,,,0.0
2008-07-14,1558.62,1562.88,1581.7,1554.01,257.13M,-0.57%,,,,0.0
2008-07-15,1509.33,1550.95,1550.95,1506.41,297.85M,-3.16%,,,,0.0
2008-07-16,1507.4,1518.57,1529.87,1488.75,296.91M,-0.13%,,,,0.0
2008-07-17,1525.56,1541.38,1546.84,1524.85,319.70M,1.20%,,,,0.0
2008-07-18,1509.99,1542.73,1542.91,1504.0,304.14M,-1.02%,,,,0.0
2008-07-21,1562.92,1530.68,1569.45,1530.05,296.05M,3.51%,,,,0.0
2008-07-22,1561.23,1551.09,1563.75,1549.0,252.50M,-0.11%,,,,0.0
2008-07-23,1591.76,1586.27,1598.89,1577.94,351.64M,1.96%,,,,0.0
2008-07-24,1626.14,1603.52,1627.87,1603.24,347.69M,2.16%,,,,0.0
2008-07-25,1597.93,1595.28,1610.45,1589.48,266.62M,-1.73%,,,,0.0
2008-07-28,1598.29,1609.57,1611.15,1588.56,252.28M,0.02%,,,,0.0
2008-07-29,1567.2,1572.16,1573.62,1542.89,261.58M,-1.95%,,,,0.0
2008-07-30,1577.7,1594.04,1595.84,1572.17,265.70M,0.67%,,,,0.0
2008-07-31,1594.67,1583.99,1600.15,1577.81,233.01M,1.08%,,,,0.0
2008-08-01,1573.77,1578.55,1587.49,1562.29,231.18M,-1.31%,,,,0.0
2008-08-04,1543.05,1567.01,1571.23,1531.52,246.52M,-1.95%,,,,0.0
2008-08-05,1535.54,1540.32,1556.96,1533.43,244.78M,-0.49%,,,,0.0
2008-08-06,1578.71,1567.3,1580.25,1560.88,276.65M,2.81%,,,,0.0
2008-08-07,1564.0,1577.36,1582.51,1553.21,219.02M,-0.93%,,,,0.0
2008-08-08,1568.72,1547.7,1573.18,1544.1,221.29M,0.30%,,,,0.0
2008-08-11,1581.09,1592.3,1597.31,1581.09,254.54M,0.79%,,,,0.0
2008-08-12,1577.12,1581.1,1590.12,1570.88,251.63M,-0.25%,,,,0.0
2008-08-13,1562.72,1572.87,1581.46,1553.94,231.58M,-0.91%,,,,0.0
2008-08-14,1572.19,1553.65,1578.3,1553.65,247.61M,0.61%,,,,0.0
2008-08-18,1567.71,1579.13,1582.76,1561.57,260.76M,-0.28%,,,,0.0
2008-08-19,1541.41,1554.21,1554.92,1528.31,261.10M,-1.68%,,,,0.0
2008-08-20,1540.71,1531.87,1549.53,1524.87,243.67M,-0.05%,,,,0.0
2008-08-21,1512.59,1539.55,1540.45,1511.69,259.52M,-1.83%,,,,0.0
2008-08-22,1496.91,1508.67,1508.67,1477.55,226.29M,-1.04%,,,,0.0
2008-08-25,1502.11,1505.13,1510.98,1496.63,198.26M,0.35%,,,,0.0
2008-08-26,1490.25,1477.04,1502.33,1474.64,213.14M,-0.79%,,,,0.0
2008-08-27,1493.92,1498.09,1498.38,1466.46,241.56M,0.25%,,,,0.0
2008-08-28,1474.15,1503.26,1503.74,1473.0,216.13M,-1.32%,,,,0.0
2008-08-29,1474.24,1488.25,1496.14,1470.87,242.10M,0.01%,,,,0.0
2008-09-01,1414.43,1453.14,1456.69,1413.43,316.59M,-4.06%,,,,0.0
2008-09-02,1407.14,1418.26,1430.43,1392.55,373.37M,-0.52%,,,,0.0
2008-09-03,1426.89,1403.89,1430.94,1396.13,367.10M,1.40%,,,,0.0
2008-09-04,1426.43,1421.16,1436.62,1409.33,372.86M,-0.03%,,,,0.0
2008-09-05,1404.38,1394.39,1415.24,1393.33,298.48M,-1.55%,,,,0.0
2008-09-08,1476.65,1437.59,1481.41,1437.59,399.13M,5.15%,,,,0.0
2008-09-09,1454.5,1469.54,1469.54,1446.53,443.71M,-1.50%,,,,0.0
2008-09-10,1464.98,1432.9,1466.26,1430.05,421.19M,0.72%,,,,0.0
2008-09-11,1443.24,1459.69,1467.9,1439.38,363.00M,-1.48%,,,,0.0
2008-09-12,1477.92,1468.41,1480.77,1463.58,311.74M,2.40%,,,,0.0
2008-09-16,1387.75,1381.24,1401.79,1372.55,392.77M,-6.10%,,,,0.0
2008-09-17,1425.26,1420.49,1441.24,1412.6,398.28M,2.70%,,,,0.0
2008-09-18,1392.42,1385.47,1400.35,1366.88,413.39M,-2.30%,,,,0.0
2008-09-19,1455.78,1441.31,1464.59,1435.72,468.69M,4.55%,,,,0.0
2008-09-22,1460.34,1472.08,1488.94,1457.1,354.33M,0.31%,,,,0.0
2008-09-23,1481.37,1447.9,1484.01,1445.5,470.35M,1.44%,,,,0.0
2008-09-24,1495.98,1479.04,1501.09,1472.31,498.53M,0.99%,,,,0.0
2008-09-25,1501.63,1487.73,1503.83,1469.23,419.07M,0.38%,,,,0.0
2008-09-26,1476.33,1492.42,1498.74,1469.83,405.92M,-1.68%,,,,0.0
2008-09-29,1456.36,1491.11,1496.3,1449.33,365.88M,-1.35%,,,,0.0
2008-09-30,1448.06,1383.97,1448.06,1376.72,412.81M,-0.57%,,,,0.0
2008-10-01,1439.67,1453.4,1453.4,1429.57,314.22M,-0.58%,,,,0.0
2008-10-02,1419.65,1450.16,1458.68,1410.35,317.94M,-1.39%,,,,0.0
2008-10-06,1358.75,1389.68,1389.68,1351.72,312.41M,-4.29%,,,,0.0
2008-10-07,1366.1,1340.92,1371.24,1321.81,349.57M,0.54%,,,,0.0
2008-10-08,1286.69,1323.96,1334.34,1281.47,431.46M,-5.81%,,,,0.0
2008-10-09,1294.89,1289.67,1324.36,1274.46,451.81M,0.64%,,,,0.0
2008-10-10,1241.47,1248.53,1248.53,1178.51,461.33M,-4.13%,,,,0.0
2008-10-13,1288.53,1272.95,1294.19,1252.44,384.72M,3.79%,,,,0.0
2008-10-14,1367.69,1342.31,1367.7,1339.86,460.91M,6.14%,,,,0.0
2008-10-15,1340.28,1338.46,1353.44,1327.42,347.68M,-2.00%,,,,0.0
2008-10-16,1213.78,1258.38,1265.85,1205.14,409.09M,-9.44%,,,,0.0
2008-10-17,1180.67,1245.15,1245.15,1166.88,420.18M,-2.73%,,,,0.0
2008-10-20,1207.63,1195.9,1211.09,1149.39,373.02M,2.28%,,,,0.0
2008-10-21,1196.1,1223.75,1232.73,1181.88,389.19M,-0.95%,,,,0.0
2008-10-22,1134.59,1190.5,1195.28,1095.56,374.87M,-5.14%,,,,0.0
2008-10-23,1049.71,1089.57,1089.57,1028.5,401.51M,-7.48%,,,,0.0
