date,종가,시가,고가,저가,거래량,변동 %,MA50,Market_Volatility,z_score,z_score_grade
2003-08-06,26.94,,,,,,,,0.0,6.25
2003-08-07,25.98,,,,,,,,,12.5
2003-08-08,25.82,,,,,,,,,12.5
2003-08-11,25.11,,,,,,,,,12.5
2003-08-12,24.79,,,,,,,,,12.5
2003-08-13,24.01,,,,,,,,,12.5
2003-08-14,22.97,,,,,,,,,12.5
2003-08-18,23.43,,,,,,,,,12.5
2003-08-19,22.67,,,,,,,,,12.5
2003-08-20,22.5,,,,,,,,,12.5
2003-08-21,21.79,,,,,,,,,12.5
2003-08-22,21.23,,,,,,,,,12.5
2003-08-25,22.14,,,,,,,,,12.5
2003-08-26,22.33,,,,,,,,,12.5
2003-08-27,21.4,,,,,,,,,12.5
2003-08-28,21.65,,,,,,,,,12.5
2003-08-29,20.83,,,,,,,,,12.5
2003-09-01,21.26,,,,,,,,,12.5
2003-09-02,21.23,,,,,,,,,12.5
2003-09-03,21.63,,,,,,,,,12.5
2003-09-04,22.23,,,,,,,,,12.5
2003-09-05,22.26,,,,,,,,,12.5
2003-09-08,22.38,,,,,,,,,12.5
2003-09-09,22.39,,,,,,,,,12.5
2003-09-15,22.03,,,,,,,,,12.5
2003-09-16,20.27,,,,,,,,,12.5
2003-09-17,19.37,,,,,,,,,12.5
2003-09-18,19.58,,,,,,,,,12.5
2003-09-19,19.8,,,,,,,,,12.5
2003-09-22,23.5,,,,,,,,,12.5
2003-09-23,23.46,,,,,,,,,12.5
2003-09-24,22.44,,,,,,,,,12.5
2003-09-25,22.46,,,,,,,,,12.5
2003-09-26,25.73,,,,,,,,,12.5
2003-09-29,27.87,,,,,,,,,12.5
2003-09-30,26.98,,,,,,,,,12.5
2003-10-01,26.03,,,,,,,,,12.5
2003-10-02,24.76,,,,,,,,,12.5
2003-10-06,24.23,,,,,,,,,12.5
2003-10-07,23.06,,,,,,,,,12.5
2003-10-08,24.42,,,,,,,,,12.5
2003-10-09,24.21,,,,,,,,,12.5
2003-10-10,24.12,,,,,,,,,12.5
2003-10-13,25.77,,,,,,,,,12.5
2003-10-14,24.45,,,,,,,,,12.5
2003-10-15,24.62,,,,,,,,,12.5
2003-10-16,25.03,,,,,,,,,12.5
2003-10-17,25.73,,,,,,,,,12.5
2003-10-20,26.08,,,,,,,,,12.5
2003-10-21,25.54,,,,,,23.4102,1.0909774371855003,,12.5
2003-10-22,25.1,,,,,,23.3734,1.073870297004287,,12.5
2003-10-23,27.89,,,,,,23.4116,1.1912897879683575,,12.5
2003-10-24,28.01,,,,,,23.4554,1.1941812972705643,,12.5
2003-10-27,27.56,,,,,,23.5044,1.172546416841102,,12.5
2003-10-28,27.68,,,,,,23.5622,1.1747629678043647,,12.5
2003-10-29,27.22,,,,,,23.6264,1.1521010395151186,,12.5
2003-10-30,27.2,,,,,,23.711,1.1471468938467375,,12.5
2003-10-31,28.33,,,,,,23.809,1.1898861774959049,,12.5
2003-11-03,28.31,,,,,,23.9218,1.1834393732913076,,12.5
2003-11-04,27.62,,,,,,24.0242,1.149674078637374,,12.5
2003-11-05,25.84,,,,,,24.1052,1.0719678741516354,,12.5
2003-11-06,28.5,,,,,,24.2506,1.1752286541363923,,12.5
2003-11-07,26.1,,,,,,24.3298,1.0727585101398287,,12.5
2003-11-10,27.79,,,,,,24.439,1.1371169033102828,,12.5
2003-11-11,28.68,,,,,,24.5846,1.166583959063804,,12.5
2003-11-12,27.18,,,,,,24.6952,1.100618743723477,,12.5
2003-11-13,27.12,,,,,,24.821000000000005,1.092623181982998,,12.5
2003-11-14,26.62,,,,,,24.9282,1.0678669137763657,,12.5
2003-11-17,28.97,,,,,,25.083,1.154965514491887,,12.5
2003-11-18,27.77,,,,,,25.2058,1.1017305540788231,,12.5
2003-11-19,29.08,,,,,,25.3428,1.1474659469356188,,12.5
2003-11-20,28.65,,,,,,25.4706,1.124826270288097,,12.5
2003-11-21,28.2,,,,,,25.587000000000003,1.1021221714151717,,12.5
2003-11-24,29.07,,,,,,25.7206,1.1302224675940686,,12.5
2003-11-25,28.09,,,,,,25.8418,1.0869985836899907,,12.5
2003-11-26,27.51,,,,,,25.9866,1.0586225208376625,,12.5
2003-11-27,26.65,,,,,,26.1322,1.0198146348183468,,12.5
2003-11-28,25.35,,,,,,26.2476,0.965802587665158,,12.5
2003-12-01,25.99,,,,,,26.3714,0.9855373624456798,,12.5
2003-12-02,25.79,,,,,,26.4172,0.9762578925851338,,12.5
2003-12-03,26.27,,,,,,26.4734,0.9923168161248648,,12.5
2003-12-04,26.37,,,,,,26.552,0.9931455257607714,,12.5
2003-12-05,27.85,,,,,,26.6598,1.0446439958289262,,12.5
