date,MO,MSI,z_score,z_score_grade
2000-01-04,19.72,19.72,0.0,6.25
2000-01-05,22.8,42.52,1.0,8.75
2000-01-06,8.18,50.7,0.9957857880577059,8.75
2000-01-07,30.8,81.5,1.4866379882309002,10.0
2000-01-10,48.39,129.89,1.708439908102789,10.0
2000-01-11,38.85,168.74,1.6641091449122252,10.0
2000-01-12,8.48,177.22,1.3919346941150157,10.0
2000-01-13,8.35,185.57,1.2617422255536885,10.0
2000-01-14,6.53,192.1,1.1725063674731184,8.75
2000-01-17,20.43,212.53,1.2780799119719597,10.0
2000-01-18,3.25,215.78,1.174028975838536,8.75
2000-01-19,-19.48,196.3,0.8284961282345746,8.75
2000-01-20,-27.04,169.26,0.414841971432055,7.5
2000-01-21,-2.98,166.28,0.35482920628460857,7.5
2000-01-24,15.01,181.29,0.5616071142239958,7.5
2000-01-25,-3.33,177.96,0.48858599507911915,7.5
2000-01-26,2.95,180.91,0.5162536600101147,7.5
2000-01-27,49.64,230.55,1.243981189143568,8.75
2000-01-28,62.11,292.66,1.9517034968522795,11.25
2000-01-31,58.93,351.59,2.3306494425695745,12.5
2000-02-01,61.45,413.04,2.5192632930977368,12.5
2000-02-02,94.99,508.03,2.7695529752839625,12.5
2000-02-03,95.34,603.37,2.8256722494813573,12.5
2000-02-07,79.43,682.8,2.736431280552143,12.5
2000-02-08,47.67,730.47,2.537414087317885,12.5
2000-02-09,26.28,756.75,2.324515407295457,12.5
2000-02-10,-0.42,756.33,2.0806984511430877,11.25
2000-02-11,-14.08,742.25,1.8512845065619512,11.25
2000-02-14,-33.01,709.24,1.6020104000896815,10.0
2000-02-15,-38.34,670.9,1.3724455341623962,10.0
2000-02-16,-22.03,648.87,1.2298246163464963,8.75
2000-02-17,-3.99,644.88,1.1680607124320364,8.75
2000-02-18,-9.87,635.01,1.090510303570099,8.75
2000-02-21,-44.95,590.06,0.8871063135570564,8.75
2000-02-22,-33.89,556.17,0.7349401229276326,7.5
2000-02-23,15.44,571.61,0.7790560235797617,8.75
2000-02-24,-13.15,558.46,0.7109559982208945,7.5
2000-02-25,4.15,562.61,0.7132550445976035,7.5
2000-02-28,15.1,577.71,0.7592936777450947,8.75
2000-02-29,24.13,601.84,0.8401776261845549,8.75
2000-03-02,36.18,638.02,0.9661155426749622,8.75
2000-03-03,11.25,649.27,0.988521517893168,8.75
2000-03-06,51.7,700.97,1.1687964945197111,8.75
2000-03-07,55.81,756.78,1.3527959996140797,10.0
2000-03-08,53.69,810.47,1.5130143720676577,10.0
2000-03-09,63.58,874.05,1.692194223621361,10.0
2000-03-10,68.29,942.34,1.8645314736606775,11.25
2000-03-13,91.6,1033.94,2.0867863884170004,11.25
2000-03-14,72.08,1106.02,2.2061812005999752,11.25
2000-03-15,45.59,1151.61,2.221607459846024,11.25
2000-03-16,22.52,1174.13,2.16553135458284,11.25
2000-03-17,15.06,1189.19,2.0963070908968158,11.25
2000-03-20,22.87,1212.06,2.0579583608943297,11.25
