date,거래량_PUT,거래량_CALL,P/C Ratio,z_score,z_score_grade
2008-01-02,3313610,4522380,0.73,0.0,6.25
2008-01-03,4699425,6358304,0.74,1.0,3.75
2008-01-04,5893163,7442080,0.79,1.397001397002097,2.5
2008-01-07,5570720,6095261,0.91,1.642312910864339,2.5
2008-01-08,6013098,6861090,0.88,0.9597148699373937,3.75
2008-01-09,6300013,9142643,0.69,-1.2467574523850748,8.75
2008-01-10,8868747,10160429,0.87,0.8640587579933822,3.75
2008-01-11,1629106,2748280,0.59,-1.8140742500282012,11.25
2008-01-14,1656095,4020332,0.41,-2.16766616200052,11.25
2008-01-15,2163476,5073530,0.43,-1.622922039789797,10.0
2008-01-16,1920768,5037914,0.38,-1.583750999170212,10.0
2008-01-17,2528065,4434099,0.57,-0.5312529225581577,7.5
2008-01-18,2254379,5134630,0.44,-1.1362508653954355,8.75
2008-01-21,2942073,5008686,0.59,-0.3059545619177008,7.5
2008-01-22,1876530,8029103,0.23,-1.9318313816795885,11.25
2008-01-23,3239863,4740024,0.68,0.3054188756532176,5.0
2008-01-24,2780315,4911467,0.57,-0.2521322142006416,7.5
2008-01-25,2496575,3329010,0.75,0.6715460550586086,5.0
2008-01-28,3216006,4296254,0.75,0.646013177552668,5.0
2008-01-29,3693125,5450973,0.68,0.25701131639909475,5.0
2008-01-30,4047566,5816099,0.7,0.358708896337375,5.0
2008-01-31,3908422,6180628,0.63,-0.03982367939252522,6.25
2008-02-01,3612737,4743475,0.76,0.6958790550359802,5.0
2008-02-04,3566924,6614432,0.54,-0.5863011405574805,7.5
2008-02-05,2987761,4131928,0.72,0.47925490307741386,5.0
2008-02-11,3751427,5849479,0.64,-0.007156562669644556,6.25
2008-02-12,4424728,6840421,0.65,0.0538383377042738,6.25
2008-02-13,6335355,6836435,0.93,1.692922311981898,2.5
2008-02-14,8218066,10719022,0.77,0.700595395551101,5.0
2008-02-15,1687775,2256260,0.75,0.564984943998869,5.0
2008-02-18,2736583,3121647,0.88,1.310583840734706,2.5
2008-02-19,1969976,2219712,0.89,1.3122211294124326,2.5
2008-02-20,2982912,3288740,0.91,1.369373724397593,2.5
2008-02-21,2377280,3214757,0.74,0.34996860847793454,5.0
2008-02-22,2397378,2955635,0.81,0.7552379264485771,3.75
2008-02-25,1978993,2954970,0.67,-0.09414234284189572,6.25
2008-02-26,2641246,2802091,0.94,1.4991467217460734,2.5
2008-02-27,2790053,3291421,0.85,0.9309992011048878,3.75
2008-02-28,2515894,5003581,0.5,-1.153186098513025,8.75
2008-02-29,2962902,3634598,0.82,0.7605397170597429,3.75
2008-03-03,3289782,4784171,0.69,-0.02693548596446283,6.25
2008-03-04,4003861,4817592,0.83,0.815350945777314,3.75
2008-03-05,3292708,3188290,1.03,1.9313037462189213,1.25
2008-03-06,3901499,5624245,0.69,-0.0902559513625367,6.25
2008-03-07,4827555,5283826,0.91,1.1996038560146345,3.75
2008-03-10,4919768,6086946,0.81,0.5922402583027067,5.0
2008-03-11,6637661,8800392,0.75,0.22801141357598873,6.25
2008-03-12,7231698,8769808,0.82,0.6445191725984738,5.0
2008-03-13,15038178,15815581,0.95,1.396849378894459,2.5
2008-03-14,1852447,3054731,0.61,-0.6548386077261222,7.5
2008-03-17,1615041,3839751,0.42,-1.7402183112122789,10.0
2008-03-18,1752810,2804636,0.62,-0.5396961660730325,7.5
2008-03-19,2277106,3583395,0.64,-0.4148422426686707,7.5
2008-03-20,2301076,3720536,0.62,-0.529587960304108,7.5
2008-03-21,2649161,3024453,0.88,1.0357035644416885,3.75
2008-03-24,2701490,3688711,0.73,0.12073864945030154,6.25
2008-03-25,2468782,3149074,0.78,0.42362135367334963,5.0
2008-03-26,2365689,2680344,0.88,1.024176118812532,3.75
2008-03-27,2985052,3398488,0.88,1.0065514547191554,3.75
2008-03-28,4328958,5517592,0.78,0.3842137130212935,5.0
2008-03-31,4538473,4966537,0.91,1.1707431845532723,3.75
2008-04-01,4650300,6562771,0.71,-0.07068269907744952,6.25
2008-04-02,4707396,5527007,0.85,0.7952744929954113,3.75
2008-04-03,5894208,9153063,0.64,-0.5179966319738255,7.5
2008-04-04,4492042,6106370,0.74,0.11257858237739887,6.25
2008-04-07,6113558,7081247,0.86,0.8644793248975537,3.75
2008-04-08,7618825,8950058,0.85,0.7909563611846423,3.75
2008-04-10,12161735,13536643,0.9,1.0925229333114275,3.75
2008-04-11,2031356,1749577,1.16,2.5933278518139122,0.0
2008-04-14,2661817,2076419,1.28,3.0683298045971714,0.0
2008-04-15,3345809,2791642,1.2,2.4766807801029413,0.0
2008-04-16,2436821,2612944,0.93,0.9793907397463049,3.75
2008-04-17,2737201,2369533,1.16,2.1550384458127474,1.25
2008-04-18,2735075,2601229,1.05,1.5304551074399209,2.5
2008-04-21,3158596,2006371,1.57,3.816737935555423,0.0
2008-04-22,3089929,2224906,1.39,2.780695214274753,0.0
2008-04-23,3752333,3481665,1.08,1.3418562027200938,2.5
2008-04-24,3881107,3404714,1.14,1.5774922207826885,2.5
2008-04-25,3964116,3813038,1.04,1.1123318192977287,3.75
2008-04-28,3189334,3426291,0.93,0.6138093640456593,5.0
2008-04-29,4585699,4782247,0.96,0.7416366570775609,5.0
2008-04-30,4147527,5974372,0.69,-0.4733919555749898,7.5
2008-05-02,4427578,3922467,1.13,1.492060760225029,2.5
2008-05-06,4861425,5864286,0.83,0.14118436934453735,6.25
2008-05-07,8534066,9625863,0.89,0.40992974984390507,5.0
2008-05-08,11290058,12965572,0.87,0.3169059905533027,5.0
2008-05-09,2640585,2084894,1.27,2.0793325433455783,1.25
2008-05-13,2814402,3318366,0.85,0.1956405577997975,6.25
2008-05-14,3387216,2936970,1.15,1.518689992889736,2.5
2008-05-15,3814584,4546173,0.84,0.13142017006513196,6.25
2008-05-16,4016791,3340959,1.2,1.7122054723295568,2.5
2008-05-19,4400293,3527673,1.25,1.8860770573625574,1.25
2008-05-20,4894237,3778162,1.3,2.0457474933603663,1.25
2008-05-21,3849884,4136952,0.93,0.44949633122783456,5.0
2008-05-22,4741234,5028814,0.94,0.4895182824428029,5.0
2008-05-23,4333553,4601724,0.94,0.48635540972189145,5.0
2008-05-26,5278712,5327554,0.99,0.698904949446857,5.0
2008-05-27,3536279,3888108,0.91,0.3472248359196063,5.0
2008-05-28,5894814,5138697,1.15,1.3802867704904536,2.5
2008-05-29,4095733,5638375,0.73,-0.4523435885875856,7.5
2008-05-30,5524993,5547350,1.0,0.7267008083450868,5.0
2008-06-02,6418688,6330408,1.01,0.7646670878509501,3.75
2008-06-03,6025616,5744967,1.05,0.9323520788772344,3.75
2008-06-04,5152733,6940961,0.74,-0.4320124154392366,7.5
2008-06-05,5487823,5819393,0.94,0.4506893460886392,5.0
2008-06-09,5783722,6396119,0.9,0.27156671886650685,5.0
2008-06-10,9282192,9414966,0.99,0.6686648041390931,5.0
2008-06-11,10405466,12260150,0.85,0.04203952484565408,6.25
2008-06-12,10805820,12322903,0.88,0.17606038655396916,6.25
2008-06-13,2571188,3135209,0.82,-0.09442942494434564,6.25
2008-06-16,2374679,3088687,0.77,-0.31962622635093924,7.5
2008-06-17,2900968,3583657,0.81,-0.1368250476174349,6.25
2008-06-18,2612620,4098023,0.64,-0.9070757682326867,8.75
2008-06-19,4031341,3493979,1.15,1.408847763410163,2.5
2008-06-20,4517979,6190651,0.73,-0.5025706283389183,7.5
2008-06-23,2856518,5821203,0.49,-1.5757527917757466,10.0
2008-06-24,3163114,4697854,0.67,-0.753021625297466,8.75
2008-06-25,3057579,5492205,0.56,-1.2400563617609497,8.75
2008-06-26,3492968,6331526,0.55,-1.2712489752401042,10.0
2008-06-27,3176911,5732236,0.55,-1.2575017754261673,10.0
2008-06-30,3397642,5213948,0.65,-0.800358340668015,8.75
2008-07-01,4753367,6903024,0.69,-0.6159156359437605,7.5
2008-07-02,6131898,9817233,0.62,-0.9262757015418148,8.75
2008-07-03,5822951,8685788,0.67,-0.695214231953462,7.5
2008-07-04,8141756,9641217,0.84,0.0774214892693483,6.25
2008-07-07,7789791,10648921,0.73,-0.42273134354581,7.5
2008-07-08,12454379,12904628,0.97,0.6725639039763149,5.0
2008-07-09,13471562,14152204,0.95,0.5777347409279117,5.0
2008-07-10,15363448,17638822,0.87,0.20874561243284073,6.25
2008-07-11,3316006,3822207,0.87,0.20790635357869156,6.25
2008-07-14,3293574,5894550,0.56,-1.217548041463535,8.75
